Shit,Brand,Model,Version,Year,GOOD,BETTER,Column
,FORD ,Explorer ,NA,10/1996- ,65-850 ,N65DMF ,
,FORD ,Explorer V8 ,NA,11/2001- ,65-850 ,N65DMF ,
,FORD ,F100 ,NA,1974-94 ,CMF65AL ,N51 ,
,FORD ,F250 ,NA,1974-94 ,CMF65AL ,N51 ,
,FORD ,F250 ,NA,02/2001-07/2007 ,65-850 ,N65DMF ,
,FORD ,F250 Dual Cab ,NA,2003- ,65-850 ,N65DMF ,
,FORD ,F350 ,NA,1974-94 ,CMF65AL ,N51 ,
,FORD ,F350 ,NA,07/2001-07/2006 ,65-850 ,N65DMF ,
,FORD ,"Falcon, Fairlane, LTD (XA-XF) ",NA,1972-85 ,CMF65AL ,N51 ,
,FORD ,"Falcon, Fairlane, LTD (XF-EA) ",NA,1985-6/91 ,CMF65AL ,N51 ,
,FORD ,"Falcon, Fairlane, LTD (EB-ED) ",NA,6/91-6/94 ,AU22-530DF ,N51EB ,
,FORD ,"Falcon, Fairlane, LTD (EF-EL) ",NA,7/94-7/98 ,AU22R-520 ,N50EF ,
,FORD ,"Falcon, Fairlane, LTD (AU-AU2) ",NA,9/98-8/02 ,AU22R-520 ,N50EF ,
,FORD ,"Falcon, Fairlane, LTD (BA) ",NA,9/02-09/2005 ,AU22R-520 ,N50EF ,
,FORD ,"Falcon, Fairlane, LTD (BF) ",NA,10/2005-04/2008 ,AU22R-520 ,N50EF ,
,FORD ,Falcon FG ,NA,2008- ,AU22R-520 ,N50EF ,
,FORD ,"Falcon, Fairmont (FG Utility) ",NA,05/2008- ,AU22R-520 ,N50EF ,
,FORD ,Falcon Utility XG (spacer reqiured) ,NA,03/1993-03/1996 ,AU22R-520 ,N50EF ,
,FORD ,Festiva WA ,NA,1991-93 ,42B19LDF ,NS40ZAL ,
,FORD ,Festiva WB ,NA,94-10/97 ,75D23L or 55D23L ,75D23L or 55D23L ,
,FORD ,Festiva WF ,NA,11/97-2000 ,75D23L or 55D23L ,N51EB/75D23L or 55D23L ,
,FORD ,Fiesta ,NA,04/2004- ,54316,N44 ,
,FORD ,Fiesta Turbo Diesel ,NA,10/2010- ,56318,N66 ,
,FORD ,Fiesta XR4 ,NA,06/2007- ,55457,N55 ,
,FORD ,"Focus 2L, 1.8L 4 Cyl ",NA,09/2002- ,55457,N55 ,
,FORD ,Focus ST 170 ,NA,2002- ,56318,N66 ,
,FORD ,Focus XR5 5 Cyl ,NA,04/2006- ,56318,N66 ,
,FORD ,Focus Diesel ,NA,08/2007- ,56318,N66 ,
,FORD ,Focus Petrol ,NA,05/2005- ,56318,N66 ,
,FORD ,KA ,NA,1999-12/2003 ,54316,N44 ,
,FORD ,Landau ,NA,1973-79 ,CMF65AL ,N51 ,
,FORD ,Laser KJ ,NA,94-10/96 ,AU22-530DF ,N51EB ,
,FORD ,Laser KA - KF ,NA,1981-8/91 ,42B19LDF ,NS40ZAL ,
,FORD ,Laser KH ,NA,8/91-94 ,AU22-530DF ,N51EB ,
,FORD ,"Laser KL, KN ",NA,1996-2000 ,75D23L or 55D23L ,75D23L or 55D23L ,
,FORD ,Laser KQ ,NA,2001- ,75D23L or 55D23L ,75D23L or 55D23L ,
,FORD ,Liata ,NA,94-10/96 ,AU22-530DF ,N51EB ,
,FORD ,Liata ,NA,11/96- ,75D23L or 55D23L ,75D23L or 55D23L ,
,FORD ,Lynx KJ ,NA,94-10/96 ,AU22-530DF ,N51EB ,
,FORD ,Maverick (Diesel) ,NA,1989-93 ,105D31L ,N70ZZL ,
,FORD ,Maverick (Petrol) ,NA,1989-93 ,85D26L ,N53 ,
,FORD (Cont'd) ,Meteor ,NA,1982-87 ,42B19LDF ,NS40ZAL ,
,FORD (Cont'd) ,Mondeo ,NA,07/1995-02/2000 ,55457,N55 ,
,FORD (Cont'd) ,Mondeo ,NA,10/2007- ,55457,N55 ,
,FORD (Cont'd) ,Mondeo TDCi (Diesel) ,NA,10/2007-current ,58014,N75 ,
,FORD (Cont'd) ,Mustang ,NA,1963-74 ,CMF65AL ,N51 ,
,FORD (Cont'd) ,Mustang ,NA,2002- ,,AM58MF ,
,FORD (Cont'd) ,Probe ,NA,1994-97 ,,AM58MF ,
,FORD (Cont'd) ,Raider ,NA,1991-95 ,CMF65AL ,N51 ,
,FORD (Cont'd) ,Ranger ,NA,12/2006- ,105D31R ,N70ZZ ,
,FORD (Cont'd) ,Ranger Twin Cab Ute ,NA,2012- ,58014,N75 ,
,FORD (Cont'd) ,Spectron ,NA,1983-95 ,40B19L ,NS40L ,
,FORD (Cont'd) ,Taurus ,NA,1996-1998 ,,AM58MF ,
,FORD (Cont'd) ,Telstar ,NA,1983-91 ,42B19LDF ,NS40ZAL ,
,FORD (Cont'd) ,Telstar AX ,NA,1991-95 ,CMF65AL ,N51 ,
,FORD (Cont'd) ,Telstar AY ,NA,1991-95 ,CMF65AL ,N51 ,
,FORD (Cont'd) ,Territory - All Models ,NA,2004- ,AU22R-520 ,N50EF ,
,FORD (Cont'd) ,Terrotiry Diesel ,NA,2007- ,57412,N66H ,
,FORD (Cont'd) ,Trader D409 ,NA,1997- ,85D26R ,N52 ,
,FORD (Cont'd) ,Transit Van 2.5 Ltr Diesel ,NA,1994-97 ,AU22R-520 ,N50EF ,
,FORD (Cont'd) ,Transit Van 2.5 Ltr Diesel / Petrol ,NA,1997-2000 ,55457,N55 ,
,FORD (Cont'd) ,Transit Van 4 Cyl ,NA,1991-95 ,N43MF ,N43MF ,
,FORD (Cont'd) ,Transit Van 6 Cyl ,NA,1973-81 ,CMF65AL ,N51 ,
,FORD (Cont'd) ,Transit Van Diesel ,NA,2000- ,56318,N66 X2 ,
,FONTON ,Diesel ,NA,2012 - ,105D31R ,N70ZZ ,
,FSM ,Niki 650 ,NA,01/1989-12/1993 ,55457,N55 ,
,GREAT WALL MOTORS ,SA220 Dual Cab Utility ,NA,07/2009- ,75D23L or 55D23L ,75D23L or 55D23L ,
,GREAT WALL MOTORS ,V200 Diesel ,NA,2010,105D31R or N70ZZ ,,
,GREAT WALL MOTORS ,V240 Dual Cab Utility ,NA,07/2009- ,75D23L or 55D23L ,75D23L or 55D23L ,
,GREAT WALL MOTORS ,X240 Wagon - 4WD ,NA,10/2009- ,75D23L or 55D23L ,75D23L or 55D23L ,
,GREAT WALL MOTORS ,X240 Sedan ,NA,2009- ,75D23L or 55D23L ,75D23R or 55D23R ,
,HOLDEN ,All 6 Volt Models ,NA,1948-56 ,,NO3 / N12 ,
,HOLDEN ,All Models ,NA,1956-80 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN ,"Adventra AWD - Wagon VY, VZ ",NA,2004- ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN ,Apollo ,NA,1989-92 ,42B19LDF ,NS40ZAL ,
,HOLDEN ,Apollo ,NA,1993-1997 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HOLDEN ,Astra ,NA,1984-89 ,42B19LDF ,NS40ZAL ,
,HOLDEN ,Astra TR ,NA,1997-98 ,55457,N55 ,
,HOLDEN ,Astra ,NA,09/1998- ,56318,N66 ,
,HOLDEN ,Astra (inc soft top) ,NA,2001- ,56318,N66 ,
,HOLDEN ,Astra CDX ,NA,02/2004- ,56318,N66 ,
,HOLDEN ,Astra CDTI (Diesel) ,NA,06/2006- ,56318,N66 ,
,HOLDEN ,Barina ,NA,1985-94 ,40B19R ,NS40 ,
,HOLDEN ,Barina ,NA,1994-01/2001 ,55457,N55 ,
,HOLDEN ,Barina (Workshop only) ,NA,02/2001-11/2005 ,56318,N66 ,
,HOLDEN ,Barina TK ,NA,12/2005-2011 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN ,Barina Spark ,NA,10/2010- ,55066,N36HMF ,
,HOLDEN ,Berlina TM ,NA,2011-2013 ,AGM70 ,AGM70H ,
,HOLDEN ,Calibra ,NA,1991-1996 ,55457 / 56318 ,N55 / N66 ,
,HOLDEN ,Camira SL/E ,NA,1983-86 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN ,Camira SL/E & SL/X ,NA,1987-89 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN ,Camira SL/X ,NA,1983-86 ,42B19LDF ,NS40ZAL ,
,HOLDEN ,Caprice Statesman ,NA,10/1974-06/1985 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN ,Caprice ,NA,04/1995-06/1999 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN ,Caprice ,NA,07/1999- ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN ,Caprice - Holden Assist-intellematics ,NA,08/2002- ,CMF65AL or 22F-520 ,N51 / OPTIMA 34R ,
,HOLDEN ,Caprice WM ,NA,08/2006- ,57412,N66H ,
,HOLDEN ,Captiva Petrol V6 ,NA,08/2006- ,56640 / 57013 ,N66RMF / DIN70-770 ,
,HOLDEN ,Captiva Petrol 4 Cyl ,NA,12/2009- ,56219,N55H ,
,HOLDEN (Cont'd) ,Captiva Diesel ,NA,03/2007- ,59095,DIN90-912 ,
,HOLDEN (Cont'd) ,Colorado RC Petrol V6 ,NA,07/2008- ,85D62L ,N53 ,
,HOLDEN (Cont'd) ,Colorado RC 3.0 DT Diesel ,NA,07/2008- ,105D31L ,N70ZZL ,
,HOLDEN (Cont'd) ,Colorado ,NA,2011,60038,DIN100 ,
,HOLDEN (Cont'd) ,Commodore/ Berlina / Calais ,NA,1978-1994 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Commodore/ Berlina / Calais ,NA,1995-08/1997 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,"Commodore/ Berlina / Calais VT, VX ",NA,06/1997-2001 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,"Commodore/ Berlina / Calais/ Monaro VY, VZ ",NA,2002-08/2006 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,"Commodore/ VY, VZ Sedan ",NA,2004-08/2006 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,"Comm/ VY, VZ Ute, Wagon, Adventra AWD ",NA,2004- ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Commodore VE V6 Sedan (in boot) ,NA,09/2006- ,56219,N55H ,
,HOLDEN (Cont'd) ,Commodore VE V8 Sedan (in boot) ,NA,09/2006- ,57412,N66H ,
,HOLDEN (Cont'd) ,Commodore VE V6 Calais V ,NA,09/2006- ,57412,N66H ,
,HOLDEN (Cont'd) ,Commodore VE Ute (behind passenger seat) ,NA,09/2007- ,56219,N55H ,
,HOLDEN (Cont'd) ,Commodore VE V8 SS Ute ,NA,09/2007- ,56219,N55H ,
,HOLDEN (Cont'd) ,Combo Van ,NA,1996- ,55457,N55 ,
,HOLDEN (Cont'd) ,Combo Van (Workshop only) ,NA,11/2002-11/2005 ,55457 / 56318 ,N55 / N66 ,
,HOLDEN (Cont'd) ,Combo Van ,NA,12/2005- ,55457 / 56318 ,N55 / N66 ,
,HOLDEN (Cont'd) ,Cruze ,NA,06/2002-06/2006 ,40B19L ,NS40L ,
,HOLDEN (Cont'd) ,Cruze Petrol ,NA,06/2009- ,55457,N55 ,
,HOLDEN (Cont'd) ,Cruze Diesel ,NA,06/2009- ,58014,N75 ,
,HOLDEN (Cont'd) ,Cruze Sri-V ,NA,01/2011- ,56219,N55H ,
,HOLDEN (Cont'd) ,Drover ,NA,1985-87 ,40B19R ,NS40 ,
,HOLDEN (Cont'd) ,Epica Petrol ,NA,03/2007- ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Epica Diesel ,NA,07/2008- ,59095,DIN90-912 ,
,HOLDEN (Cont'd) ,Frontera ,NA,10/1995-03/1999 ,56318,N66 ,
,HOLDEN (Cont'd) ,Frontera ,NA,04/1999-06/2004 ,85D26L ,N53 ,
,HOLDEN (Cont'd) ,HSV Grange - Holden Assist (Intellematics) ,NA,08/2002- ,CMF65AL or 22F-520 ,N51 / OPTIMA 34R ,
,HOLDEN (Cont'd) ,Gemini (Diesel) ,NA,1975-84 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Gemini (Petrol) ,NA,1975-84 ,N43MF ,N43MF ,
,HOLDEN (Cont'd) ,Gemini (Petrol) ,NA,1985-87 ,40B19R ,NS40 ,
,HOLDEN (Cont'd) ,Jackaroo (Diesel) ,NA,1979-92 ,105D31R ,N70ZZ ,
,HOLDEN (Cont'd) ,Jackaroo (Diesel) ,NA,1998-2000 ,105D31R ,N70ZZ ,
,HOLDEN (Cont'd) ,Jackaroo (Diesel) twin batteries ,NA,2000- ,85D26R ,N52 ,
,HOLDEN (Cont'd) ,Jackaroo (Petrol & Diesel) ,NA,1993-95 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Jackaroo (Petrol) ,NA,1983-87 ,55B24LS ,NS60AL ,
,HOLDEN (Cont'd) ,Jackaroo (Petrol) ,NA,1987-91 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Jackaroo (Petrol) ,NA,1991-95 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Jackaroo (Petrol) ,NA,1997-98 ,85D26R ,N52 ,
,HOLDEN (Cont'd) ,Jackaroo (Petrol) ,NA,1999- ,75D23R or 55D23R ,75D23R or 55D23R ,
,HOLDEN (Cont'd) ,Kingswood ,NA,1968-1977 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Nova ,NA,1989-91 ,N43MF ,N43MF ,
,HOLDEN (Cont'd) ,Nova ,NA,1992-95 ,N43MF ,N43MF ,
,HOLDEN (Cont'd) ,Phantom SS Ute ,NA,2000- ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Piazza (Turbo) ,NA,1986-87 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Rodeo (Diesel) ,NA,1981-12/1999 ,105D31R ,N70ZZ ,
,HOLDEN (Cont'd) ,Rodeo (Diesel) ,NA,01/2000-12/2006 ,105D31R ,N70ZZ ,
,HOLDEN (Cont'd) ,Rodeo (Diesel) ,NA,01/2007- ,105D31R ,N70ZZ ,
,HOLDEN (Cont'd) ,Rodeo (Petrol) ,NA,1981-87 ,N43MF ,N43MF ,
,HOLDEN (Cont'd) ,Rodeo (Petrol) ,NA,1988-11/1995 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Rodeo (Petrol) ,NA,12/1995-08/2005 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HOLDEN (Cont'd) ,Rodeo (Petrol) ,NA,09/2005- ,85D26L ,N53 ,
,HOLDEN (Cont'd) ,Rodeo (Petrol) 4 Cyl ,NA,03/2003-06/2008 ,55B24LS ,NS60AL ,
,HOLDEN (Cont'd) ,Sandman ,NA,1974-79 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Shuttle (Diesel) ,NA,1982-87 ,105D31R ,N70ZZ ,
,HOLDEN (Cont'd) ,Shuttle (Petrol) ,NA,1982-87 ,N43MF ,N43MF ,
,HOLDEN (Cont'd) ,Special Vehicles GTS-R/SS ,NA,1996,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Sportwagon ,NA,03/2008- ,56219,N55H ,
,HOLDEN (Cont'd) ,Statesman ,NA,1971-85 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Statesman ,NA,1990-1996 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Statesman ,NA,1997-07/2006 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Statesman - Holden Assist (Intellematics) ,NA,08/2002- ,CMF65AL or 22F-520 ,N51 / OPTIMA R34 ,
,HOLDEN (Cont'd) ,Statesman ,NA,08/2006- ,57412,N66H ,
,HOLDEN (Cont'd) ,Suburban 4X4 ,NA,1998,85D26R ,N52 ,
,HOLDEN (Cont'd) ,Sunbird ,NA,1977-79 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Tigra ,NA,10/2005- ,56318,N66 ,
,HOLDEN (Cont'd) ,Torana 4 Cyl ,NA,1967-74 ,N43MF ,N43MF ,
,HOLDEN (Cont'd) ,Torana 4 Cyl ,NA,1974-79 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Torana 6/8 Cyl ,NA,1696-79 ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Vectra (Imported) ,NA,1997-2006 ,56318,N66 ,
,HOLDEN (Cont'd) ,Vectra JS (Aust made) ,NA,6/98-10/00 ,CMF65AL or 22F-520 ,N51 ,
,HOLDEN (Cont'd) ,Viva JS ,NA,09/2005- ,CMF65AR or 22FR-520 ,N50 ,
,HOLDEN (Cont'd) ,Zafira ,NA,06/2001- ,56318,N66 ,
,HONDA ,600,NA,1968-74 ,40B19R ,NS40 ,
,HONDA ,1300,NA,1968-74 ,40B19R ,NS40 ,
,HONDA ,20T ,NA,1968-74 ,40B19R ,NS40 ,
,HONDA ,Accord ,NA,1982-1985 ,42B19LDF ,NS40ZA ,
,HONDA ,Accord -2 DR and 4 DR ,NA,1986-1992 ,55B24RS ,NS60A ,
,HONDA ,Accord - wagon ,NA,1992-1993 ,55B24RS ,NS60A ,
,HONDA ,Accord - 4DR ,NA,1993,75D23R or 55D23R ,75D23R or 55D23R ,
,HONDA ,Accord - Exi ,NA,1994,75D23R or 55D23R ,75D23R or 55D23R ,
,HONDA ,Accord - Vti ,NA,1994-1998 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Accord - Wagon ,NA,1994-1996 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Accord - Exi ,NA,1995-1997 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Accord - V6 ,NA,1998-2002 ,85D26R ,N52 ,
,HONDA ,Accord - Vti ,NA,1999-2003 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Accord - 2.45 Vti ,NA,02/2008- ,55B24LS ,NS60AL ,
,HONDA ,Accord - V6 ,NA,2003-2004 ,85D26R ,N52 ,
,HONDA ,Accord V6 ,NA,2004- ,85D26L ,N53 ,
,HONDA ,Accord - V6 ,NA,2005-2007 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Accord - 3.5 V6 ,NA,02/2008- ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Accord - Vti ,NA,2004,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Accord - Vti ,NA,2005-2007 ,55B24LS ,NS60AL ,
,HONDA ,Accord - Euro ,NA,2003-2007 ,55B24LS ,NS60AL ,
,HONDA ,Civic - 3 Dr ,NA,1988-2000 ,55B24RS ,NS60A ,
,HONDA ,Civic - 4 Dr ,NA,1988-2005 ,55B24RS ,NS60A ,
,HONDA ,Civic - 4 Dr ,NA,2006-2007 ,55B24LS ,NS60AL ,
,HONDA ,Civic - 5 Dr ,NA,1988-2005 ,55B24RS ,NS60A ,
,HONDA ,Civic - VTiR - Coupe ,NA,1996-2000 ,55B24RS ,NS60A ,
,HONDA ,Civic - Coupe ,NA,1996-2000 ,55B24RS ,NS60A ,
,HONDA ,Civic Type R ,NA,07/2007- ,55B24LS ,NS60AL ,
,HONDA ,Civic Hybrid ,NA,03/2004- ,40B19L ,NS40L ,
,HONDA ,Concerto 5 Dr ,NA,1989-1991 ,55B24RS ,NS60A ,
,HONDA ,CR-X ,NA,1988-1997 ,55B24RS ,NS60A ,
,HONDA ,CR-V ,NA,08/1997-12/2001 ,55B24RS ,NS60A ,
,HONDA ,CR-V ,NA,01/2002- ,55B24LS ,NS60AL ,
,HONDA ,HR-V ,NA,1999-2000 ,55B24LS ,NS60AL ,
,HONDA ,Insight ,NA,03/2001-06/2004 ,40B19L ,NS40L ,
,HONDA ,Insight Vti Hybrid ,NA,12/2010- ,40B19L ,NS40L ,
,HONDA ,Integra - SX ,NA,1986-1988 ,55B24RS ,NS60A ,
,HONDA ,Integra - LS ,NA,1990-1993 ,75D23R or 55D23R ,75D23R or 55D23R ,
,HONDA ,Integra - Gsi ,NA,1994-2001 ,55B24RS ,NS60A ,
,HONDA ,Integra - VTiR ,NA,1994-1999 ,55B24RS ,NS60A ,
,HONDA ,Integra - Type R ,NA,2000-2001 ,55B24RS ,NS60A ,
,HONDA ,Integra - Base and Type R ,NA,2002-2004 ,55B24LS ,NS60AL ,
,HONDA ,Integra - Base and Type S ,NA,10/2004-04/2007 ,55B24LS ,NS60AL ,
,HONDA ,Jazz ,NA,2003- ,40B19L ,NS40L ,
,HONDA ,Legend 4 Dr and Coupe ,NA,1986-1990 ,85D26L ,N53 ,
,HONDA ,Legend 4 Dr and Coupe ,NA,1991-2007 ,85D26R ,N52 ,
,HONDA ,MDX ,NA,2003-2006 ,85D26L ,N53 ,
,HONDA ,NSX MT and AT ,NA,1991-1994 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,NSX MT and AT ,NA,1995-2000 ,85D26L ,N53 ,
,HONDA ,NSX AT ,NA,2000,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,NSX MT and AT ,NA,2001-2004 ,85D26L ,N53 ,
,HONDA ,Odyssey 6 and 7 seater ,NA,03/1995-05/2004 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA ,Odyssey 4 Cyl ,NA,06/2004- ,55B24LS ,NS60AL ,
,HONDA ,Odyssey V6 ,NA,02/2003-05/2004 ,75D23R or 55D23R ,75D23R or 55D23R ,
,HONDA ,Odyssey 4 Cyl ,NA,2004,55B24LS ,NS60AL ,
,HONDA ,Prelude - 4WS ,NA,1988-1991 ,85D26R ,N52 ,
,HONDA ,Prelude - S ,NA,1992-1997 ,55B24LS ,NS60AL ,
,HONDA (Cont'd) ,Prelude - Si-SRS ,NA,1993-1996 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HONDA (Cont'd) ,Prelude - VTiR ,NA,1994-2001 ,85D26L ,N53 ,
,HONDA (Cont'd) ,Prelude - Si ,NA,1997,85D26L ,N53 ,
,HONDA (Cont'd) ,Prelude - ATTS ,NA,1997-2001 ,85D26L ,N53 ,
,HONDA (Cont'd) ,Prelude - Si ,NA,1998-2001 ,55B24LS ,NS60AL ,
,HONDA (Cont'd) ,S2000 MT ,NA,2000-2007 ,55B24LS ,NS60AL ,
,HUMMER ,H3 Holden ,NA,2007- ,CMF65AR or 22FR520 ,N50 / OPTIMA R34 ,
,HUMMER ,American Hummer ,NA,1997-98 ,31P-950 ,31-900 ,
,HUMMER ,American Hummer ,NA,1999- ,,OPTIMA 34-78 F/Entry ,
,HYUNDAI ,Accent ,NA,06/2000- ,,,
,HYUNDAI ,Coupe FX ,NA,07/1996-04/2002 ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,Elantra ,NA,10/2000- ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,Excel ,NA,1983-95 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HYUNDAI ,Excel ,NA,1995-05/2000 ,CMF65AR or 22FR-520 ,N50 ,
,HYUNDAI ,Getz ,NA,2002- ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,Grandeur ,NA,09/1999-01/2004 ,85D26L ,N53 ,
,HYUNDAI ,Grandeur ,NA,02/2006- ,85D26L ,N53 ,
,HYUNDAI ,i20 Petrol (Fitting has 4 bolts) ,NA,07/2010- ,,50D23L ,
,HYUNDAI ,i30 Petrol ,NA,09/2007- ,75D23L or 55D23L ,75D23L or 55D23L ,
,HYUNDAI ,i30 Diesel CRDi ,NA,09/2007- ,85D26L ,N53 ,
,HYUNDAI ,i30 Diesel ,NA,2007-2013 ,AGM70 ,AGM70H ,
,HYUNDAI ,i45 Petrol ,NA,05/2010- ,85D26L ,N53 ,
,HYUNDAI ,iLoad ,NA,02/2008- ,105D31R ,N70ZZ (Front Ledge ,
,HYUNDAI ,iMax ,NA,02/2008- ,105D31R ,N70ZZ ,
,HYUNDAI ,iX 35 (Diesel) ,NA,02/2010- ,105D31R ,N70ZZ ,
,HYUNDAI ,iX 35 (Petrol 2.4) ,NA,02/2010- ,75D23L or 55D23L ,75D23L or 55D23L ,
,HYUNDAI ,iX 35 (Petrol 2.0) ,NA,02/2010- ,75D23L or 55D23L ,75D23L or 55D23L ,
,HYUNDAI ,Lantra ,NA,1991-94 ,CMF65AR or 22FR-520 ,N50 ,
,HYUNDAI ,Lantra ,NA,1995,N43MF ,N43MF ,
,HYUNDAI ,Lantra GIS ,NA,1996-98 ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,Lantra SE ,NA,1996-98 ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,Lantra SE ,NA,1999- ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,Lavita ,NA,10/2001-06/2004 ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,S Coupe ,NA,1990-95 ,CMF65AR or 22FR-520 ,N50 ,
,HYUNDAI ,SX Coupe ,NA,07/1996-04/2002 ,CMF65AL or 22F-520 ,N51 ,
,HYUNDAI ,Sante Fe ,NA,01/2001-09/2004 ,85D26L ,N53 ,
,HYUNDAI ,Santa Fe Petrol ,NA,09/2006- ,105D31L ,N70ZZL ,
,HYUNDAI ,Santa Fe Diesel ,NA,09/2006- ,105D31L ,N70ZZL ,
,HYUNDAI ,Sonata ,NA,1989-97 ,CMF65AR or 22FR-520 ,N50 ,
,HYUNDAI ,Sonata ,NA,08/1998-05/2005 ,85D26L ,N53 ,
,HYUNDAI ,Sonata 4 Cyl ,NA,09/2001-05/2005 ,75D23L or 55D23L ,75D23L or 55D23L ,
,HYUNDAI ,Sonata Elite ,NA,06/2005- ,85D26L ,N53 ,
,HYUNDAI ,Sonata GLE ,NA,1994-95 ,55B24RS ,NS60A ,
,HYUNDAI ,Sonata GLE ,NA,1996-97 ,CMF65AR or 22FR-520 ,N50 ,
,HYUNDAI ,Sonata GLS ,NA,1988-95 ,CMF65AR or 22FR-520 ,N50 ,
,HYUNDAI ,Terracan ,NA,12/2001- ,85D26R ,N52 ,
,HYUNDAI ,Terracan Diesel (Workshop only) ,NA,01/2005- ,31P-950 ,31P-950 ,
,HYUNDAI ,Tiburon ,NA,03/2002- ,85D26L ,N53 ,
,HYUNDAI ,Trajet ,NA,07/2000- ,85D26L ,N53 ,
,HYUNDAI ,Tucson ,NA,08/2004- ,75D23L or 55D23L ,75D23L or 55D23L ,
,HYUNDAI ,Tucson Elite ,NA,08/2004- ,85D26L ,N53 ,
,ISUZU ,D-Max Diesel 3.0L ,NA,2012- ,105D31R ,N70ZZ ,
,JAGUAR (DAIMLER) ,2.4 Litre ,NA,1956-69 ,105D31R ,N70ZZ ,
,JAGUAR (DAIMLER) ,3.4 Litre ,NA,1956-69 ,105D31R ,N70ZZ ,
,JAGUAR (DAIMLER) ,3.8 Litre ,NA,1956-69 ,105D31R ,N70ZZ ,
,JAGUAR (DAIMLER) ,420G ,NA,1966-71 ,105D31R ,N70ZZ ,
,JAGUAR (DAIMLER) ,420S ,NA,1966-71 ,105D31R ,N70ZZ ,
,JAGUAR (DAIMLER) ,Mark 10 ,NA,1968-70 ,105D31R ,N70ZZ ,
,JAGUAR (DAIMLER) (Cont'd) ,XF ,NA,06/2008- ,60038,DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,XFR ,NA,08/2009- ,60038,DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,XJ12 ,NA,1995- ,60038,N88 / DIN100 ,
